# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 8560 -2.67725290e-05 5.49940798e-06 7.03279899e-20 9.78806823e+26 0
0 8600 -2.67725291e-05 6.34446251e-06 1.15959686e-20 8.86246711e+26 0
0 8640 -2.67725292e-05 7.18513305e-06 4.66902909e-21 7.91831745e+26 0
0 8680 -2.67725293e-05 8.02477028e-06 2.66580888e-21 6.98229357e+26 0
0 8720 -2.67725293e-05 8.86393774e-06 1.79933052e-21 6.06432536e+26 0
0 8760 -2.67725294e-05 9.70285252e-06 1.38698036e-21 5.20037033e+26 0
0 8800 -2.67725295e-05 1.05416138e-05 1.17063447e-21 4.39614879e+26 0
0 8840 -2.67725295e-05 1.13802771e-05 1.04926070e-21 3.66743576e+26 0
0 8880 -2.67725295e-05 1.22188758e-05 9.73802135e-22 3.01410771e+26 0
0 8920 -2.67725296e-05 1.30574332e-05 9.31721903e-22 2.44468632e+26 0
0 8960 -2.67725296e-05 1.38959642e-05 9.05140746e-22 1.95589395e+26 0
0 9000 -2.67725297e-05 1.47344791e-05 8.89112085e-22 1.54202899e+26 0
0 9040 -2.67725297e-05 1.55729858e-05 8.79507770e-22 1.19925106e+26 0
0 9080 -2.67725298e-05 1.64114892e-05 8.74340285e-22 9.19467852e+25 0
0 9120 -2.67725298e-05 1.72499930e-05 8.71104954e-22 6.95642701e+25 0
0 9160 -2.67725298e-05 1.80884991e-05 8.69304724e-22 5.18877932e+25 0
0 9200 -2.67725299e-05 1.89270090e-05 8.68332786e-22 3.81730402e+25 0
0 9240 -2.67725299e-05 1.97655178e-05 8.67829054e-22 2.76934903e+25 0
0 9280 -2.67725299e-05 2.06040128e-05 8.67566668e-22 1.98094762e+25 0
0 9320 -2.67725300e-05 2.14424978e-05 8.67440349e-22 1.39855509e+25 0
0 9360 -2.67725300e-05 2.22809757e-05 8.67376935e-22 9.73337074e+24 0
0 9400 -2.67725301e-05 2.31194486e-05 8.67347473e-22 6.67888767e+24 0
0 9440 -2.67725301e-05 2.39579182e-05 8.67333651e-22 4.52411316e+24 0
0 9480 -2.67725301e-05 2.47963855e-05 8.67326978e-22 3.01709845e+24 0
0 9520 -2.67725302e-05 2.56348514e-05 8.67324358e-22 1.98566316e+24 0
0 9560 -2.67725302e-05 2.64733163e-05 8.67323106e-22 1.28941946e+24 0
0 9600 -2.67725302e-05 2.73117806e-05 8.67322588e-22 8.25467633e+23 0
0 9640 -2.67725303e-05 2.81502446e-05 8.67322388e-22 5.20611384e+23 0
0 9680 -2.67725303e-05 2.89887084e-05 8.67322308e-22 3.24472998e+23 0
0 9720 -2.67725304e-05 2.98271721e-05 8.67322278e-22 1.99146719e+23 0
0 9760 -2.67725304e-05 3.06656357e-05 8.67322268e-22 0.00000000e+00 0
0 9800 -2.67725304e-05 3.15040993e-05 8.67322268e-22 0.00000000e+00 0
0 9840 -2.67725305e-05 3.23425628e-05 8.67322268e-22 0.00000000e+00 0
0 9880 -2.67725305e-05 3.31810264e-05 8.67322268e-22 0.00000000e+00 0
0 9920 -2.67725305e-05 3.40194900e-05 8.67322268e-22 0.00000000e+00 0
0 9960 -2.67725306e-05 3.48579535e-05 8.67322268e-22 0.00000000e+00 0
0 10000 -2.67725306e-05 3.56964171e-05 8.67322268e-22 0.00000000e+00 0
0 10040 -2.67725307e-05 3.65348807e-05 8.67322268e-22 0.00000000e+00 0
0 10080 -2.67725307e-05 3.73733442e-05 8.67322268e-22 0.00000000e+00 0
0 10120 -2.67725307e-05 3.82118078e-05 8.67322268e-22 0.00000000e+00 0
0 10160 -2.67725308e-05 3.90502714e-05 8.67322268e-22 0.00000000e+00 0
0 10200 -2.67725308e-05 3.98887349e-05 8.67322268e-22 0.00000000e+00 0
0 10240 -2.67725308e-05 4.07271985e-05 8.67322268e-22 0.00000000e+00 0
