# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-2.5750000e+01  0.0000000e+00  1.4999235e+00
-2.5250000e+01  0.0000000e+00  1.4997224e+00
-2.4750000e+01  0.0000000e+00  1.5000079e+00
-2.4250000e+01  0.0000000e+00  1.4999121e+00
-2.3750000e+01  0.0000000e+00  1.4994396e+00
-2.3250000e+01  0.0000000e+00  1.5001008e+00
-2.2750000e+01  0.0000000e+00  1.4995824e+00
-2.2250000e+01  0.0000000e+00  1.4995627e+00
-2.1750000e+01  0.0000000e+00  1.4998163e+00
-2.1250000e+01  0.0000000e+00  1.5001273e+00
-2.0750000e+01  0.0000000e+00  1.4994731e+00
-2.0250000e+01  0.0000000e+00  1.4999796e+00
-1.9750000e+01  0.0000000e+00  1.4998343e+00
-1.9250000e+01  0.0000000e+00  1.4998122e+00
-1.8750000e+01  0.0000000e+00  1.4994044e+00
-1.8250000e+01  0.0000000e+00  1.4999840e+00
-1.7750000e+01  0.0000000e+00  1.4999687e+00
-1.7250000e+01  0.0000000e+00  1.4992472e+00
-1.6750000e+01  0.0000000e+00  1.5000783e+00
-1.6250000e+01  0.0000000e+00  1.4994359e+00
-1.5750000e+01  0.0000000e+00  1.4999047e+00
-1.5250000e+01  0.0000000e+00  1.4996646e+00
-1.4750000e+01  0.0000000e+00  1.4999736e+00
-1.4250000e+01  0.0000000e+00  1.4998964e+00
-1.3750000e+01  0.0000000e+00  1.4998276e+00
-1.3250000e+01  0.0000000e+00  1.5000261e+00
-1.2750000e+01  0.0000000e+00  1.4992524e+00
-1.2250000e+01  0.0000000e+00  1.4999636e+00
-1.1750000e+01  0.0000000e+00  1.4997865e+00
-1.1250000e+01  0.0000000e+00  1.5000417e+00
-1.0750000e+01  0.0000000e+00  1.4995989e+00
-1.0250000e+01  0.0000000e+00  1.4997983e+00
-9.7500000e+00  0.0000000e+00  1.4996502e+00
-9.2500000e+00  0.0000000e+00  1.4998250e+00
-8.7500000e+00  0.0000000e+00  1.4998860e+00
-8.2500000e+00  0.0000000e+00  1.4997242e+00
-7.7500000e+00  0.0000000e+00  1.4998526e+00
